"","Shrub_ID","D1","D2","H","Volume","S.density grouping","Canopy","Skat.2013","Skat.2014","X","Y","RDM.2013","RDM.2014","Shrub.density","Dx","Burrows","Trails","newcolumn","lat","lng"
"432",432,5.32,4.6,1.89,24.22,6,9,0,0,696720.5,4063495,5.771954,2.817154,0.003536,3.78,3,5,-120.797933110681,36.6967734220011,-120.797933110681
"433",433,1.99,1.9,1.06,2.1,6,5,0,0,696717.2,4063493,3.298136,2.999722,0.003768,4.09,0,1,-120.797970539854,36.6967560886463,-120.797970539854
"434",434,3.24,3.17,1.58,8.5,6,6,0,0,696713.3,4063497,3.256809,2.862669,0.003715,3.49,3,5,-120.798013138628,36.6967929287635,-120.798013138628
"435",435,3.8,3.5,1.38,9.61,6,8,0,0,696705.9,4063491,2.014997,2.574154,0.004357,6.97,1,5,-120.798097460107,36.6967404111421,-120.798097460107
"436",436,3.98,3.7,1.23,9.48,6,6,0,0,696696.8,4063491,6.125937,2.339713,0.005149,5.946667,2,5,-120.798199256239,36.6967422946047,-120.798199256239
"437",437,4.42,3.87,1.82,16.3,6,6,0,0,696693.4,4063489,9.243687,2.130592,0.005492,6.62,3,7,-120.798237803979,36.6967249818601,-120.798237803979
"438",438,3.97,0.39,1.49,1.21,6,8,0,0,696688.6,4063500,1.215379,3.10562,0.00516,NA,NA,NA,-120.798288671595,36.6968250656698,-120.798288671595
"439",439,4.18,3.7,1.47,11.9,6,6,0,0,696702.2,4063503,3.734383,3.536812,0.004239,13.26667,1,1,-120.798135765482,36.6968492755494,-120.798135765482
"440",440,3.6,2.9,1.99,10.88,7,5,0,0,696700.3,4063522,9.105304,5.666131,0.002451,NA,NA,NA,-120.798152136251,36.6970208249052,-120.798152136251
"441",441,2.9,3,1.5,6.83,7,9,1,0,696687.1,4063525,8.041706,3.566724,0.003229,11.48333,1,5,-120.798299026104,36.6970505815326,-120.798299026104
"442",442,3.8,4.3,1.7,14.54,7,4,1,0,696672.6,4063501,3.106418,2.474427,0.004225,NA,NA,NA,-120.798467397047,36.6968373851315,-120.798467397047
"443",443,4.42,3.94,1.63,14.86,7,6,0,0,696670.1,4063521,4.178483,2.782257,0.003773,NA,NA,NA,-120.79849022343,36.6970180668505,-120.79849022343
"444",444,3,4.4,1,6.91,7,1,1,0,696660.4,4063528,3.889935,1.89806,0.003872,NA,NA,NA,-120.798596933021,36.697083131679,-120.798596933021
"445",445,4.12,3.4,1.27,9.31,7,5,0,0,696659.2,4063538,11.53951,2.170249,0.003806,NA,NA,NA,-120.798607787053,36.697173462183,-120.798607787053
"446",446,3.7,3.51,1.49,10.13,7,4,0,0,696660.1,4063543,10.62588,2.949046,0.003875,6.833333,2,2,-120.798596434386,36.6972183170345,-120.798596434386
"447",447,2.4,2,1.2,3.02,7,2,0,0,696652.9,4063546,12.18186,2.594783,0.004325,NA,NA,NA,-120.798676206016,36.6972468315889,-120.798676206016
"448",448,5.4,4.83,1.8,24.58,7,10,0,0,696636.9,4063546,14.83958,2.150347,0.003182,NA,NA,NA,-120.798855189476,36.6972501422825,-120.798855189476
"449",449,3.2,3.16,1.36,7.2,7,4,0,0,696639.8,4063551,11.25716,2.227525,0.003653,9.103333,2,3,-120.79882146399,36.697294583337,-120.79882146399
"450",450,2.82,2.8,1.04,4.3,7,4,0,0,696657.6,4063561,9.313643,2.564039,0.004037,10.6,1,2,-120.798619775081,36.6973809822955,-120.798619775081
"451",451,4.4,3.9,1.79,16.08,7,5,0,0,696669.1,4063562,7.268711,2.746312,0.0033,NA,NA,NA,-120.798490873533,36.6973876107174,-120.798490873533
"452",452,2.1,1.5,1.1,1.81,7,9,1,0,696678.9,4063552,4.484929,2.364383,0.003119,8.616667,2,5,-120.798383815974,36.6972955004399,-120.798383815974
"453",453,2.16,2.14,1.14,2.76,7,3,0,0,696674.2,4063550,4.531952,2.327306,0.00351,NA,NA,NA,-120.798436906367,36.6972784566799,-120.798436906367
"454",454,3.2,2.7,1.3,5.88,7,3,0,0,696653.9,4063569,6.791348,3.704227,0.004653,NA,NA,NA,-120.798659109342,36.697453813686,-120.798659109342
"455",455,3.97,3.9,1.4,11.35,7,7,0,0,696645.4,4063577,5.459218,4.93443,0.004493,NA,NA,NA,-120.798752138904,36.6975276382979,-120.798752138904
"456",456,2.52,2.3,0.82,2.49,7,3,0,0,696661.7,4063585,5.843828,4.565993,0.002273,NA,NA,NA,-120.798567743035,36.6975963310871,-120.798567743035
"457",457,2.12,2,1.54,3.42,7,3,0,0,696625.4,4063561,12.69437,2.903837,0.004473,NA,NA,NA,-120.798979979935,36.697387644984,-120.798979979935
"458",458,3.35,3.2,1.41,7.91,7,1,0,0,696624.9,4063555,15.52598,2.255878,0.00447,NA,NA,NA,-120.798987114746,36.697333699111,-120.798987114746
"459",459,4.47,4.19,1.53,15,7,8,0,1,696606.4,4063564,7.849695,3.028113,0.003526,NA,NA,NA,-120.799191752514,36.6974186005381,-120.799191752514
"460",460,4.47,4.12,1.27,12.25,7,8,0,1,696606.3,4063569,3.684702,3.259258,0.003952,NA,NA,NA,-120.799191586641,36.6974636623336,-120.799191586641
"461",461,0.7,0.6,0.55,0.12,7,2,0,0,696603.9,4063565,7.922336,2.709181,0.003834,NA,NA,NA,-120.799219461849,36.6974281259544,-120.799219461849
"462",462,3.3,3.7,1.4,8.95,7,7,1,1,696609.4,4063580,2.011185,4.245875,0.004488,NA,NA,NA,-120.799154082484,36.6975621114356,-120.799154082484
"463",463,2.91,1.12,0.82,1.4,7,7,0,0,696614.5,4063580,1.893025,6.586946,0.004897,NA,NA,NA,-120.799097031261,36.6975610563168,-120.799097031261
"464",464,1.47,1.23,0.88,0.83,7,3,0,0,696628,4063581,1.381189,5.751418,0.005173,NA,NA,NA,-120.798945756398,36.6975672714432,-120.798945756398
"465",465,1.63,1.3,0.77,0.85,7,2,0,0,696627.3,4063592,0.877481,7.882537,0.003835,NA,NA,NA,-120.798950760681,36.6976665066929,-120.798950760681
"466",466,1.83,1.8,1.02,1.76,7,1,0,0,696632.9,4063596,1.838812,6.333466,0.003492,NA,NA,NA,-120.798887088356,36.697701380897,-120.798887088356
"467",467,2.32,2.19,1.39,3.7,7,4,0,0,696638.9,4063595,1.250416,5.826336,0.00347,NA,NA,NA,-120.798820226112,36.6976911312045,-120.798820226112
"468",468,3.27,3.41,1.07,6.25,7,5,0,0,696632.8,4063602,3.010483,9.52373,0.002916,NA,NA,NA,-120.798886665352,36.6977554509033,-120.798886665352
"469",469,4.28,2.75,1.3,8.01,7,5,0,0,696634.5,4063616,8.998547,12.28486,0.00222,NA,NA,NA,-120.798864050986,36.6978812142215,-120.798864050986
"470",470,4.8,4.6,1.6,18.5,7,6,0,0,696616.5,4063633,9.337669,10.79954,0.002445,NA,NA,NA,-120.799061041343,36.6980380782093,-120.799061041343
"471",471,3.54,3.28,1.55,9.42,7,8,0,0,696612.7,4063603,7.884564,11.53564,0.005037,NA,NA,NA,-120.799111257923,36.6977686177912,-120.799111257923
"472",472,4.34,3.47,1.36,10.72,7,4,0,0,696598.9,4063585,2.777814,6.057267,0.004,NA,NA,NA,-120.79927025641,36.697609324762,-120.79927025641
"473",473,5.47,4.73,1.37,18.56,7,6,0,0,696586,4063590,10.51475,7.061011,0.005098,NA,NA,NA,-120.799413278154,36.6976570344451,-120.799413278154
"474",474,3.5,2.44,0.84,3.76,7,4,0,0,696566.8,4063567,17.22131,5.420408,0.004855,NA,NA,NA,-120.79963396721,36.6974538168012,-120.79963396721
"475",475,7.46,6.95,2.14,58.09,7,4,0,0,696550.8,4063557,16.6662,5.373923,0.005788,NA,NA,NA,-120.799815519582,36.6973670438176,-120.799815519582
"476",476,6.37,6.35,1.76,37.28,7,3,0,0,696555.8,4063546,12.31654,4.96692,0.004395,NA,NA,NA,-120.799762412335,36.6972669192263,-120.799762412335
"477",477,4.88,4.61,1.57,18.49,7,2,0,0,696562,4063542,12.24919,5.077854,0.003257,NA,NA,NA,-120.799694083561,36.697229603993,-120.799694083561
"478",478,7,6.27,2.22,51.02,7,9,0,0,696562.1,4063542,12.06754,5.058476,0.003248,NA,NA,NA,-120.799692964914,36.6972295833099,-120.799692964914
"479",479,6.03,5.95,1.74,32.69,7,6,0,0,696570.3,4063541,12.77464,4.402329,0.003857,NA,NA,NA,-120.799601492715,36.6972188790349,-120.799601492715
"480",480,7.43,7.78,2.04,61.74,7,8,0,0,696593.4,4063555,4.666818,2.471567,0.003734,NA,NA,NA,-120.79933948893,36.6973402158756,-120.79933948893
"481",481,4.84,4.63,2.25,26.4,7,7,0,0,696601.2,4063545,12.3009,2.514721,0.002941,NA,NA,NA,-120.79925480332,36.6972485200764,-120.79925480332
"482",482,5.81,4.85,2.21,32.61,7,6,0,0,696587.2,4063538,19.1224,4.539204,0.003335,NA,NA,NA,-120.799413212048,36.6971883586247,-120.799413212048
"483",483,4.47,3.4,2.43,19.34,7,4,0,0,696573.7,4063525,13.5431,4.968741,0.003354,NA,NA,NA,-120.799567568456,36.6970740441862,-120.799567568456
"484",484,3.89,4.6,0.81,7.59,7,7,0,0,696568.8,4063516,12.40719,6.212602,0.003069,NA,NA,NA,-120.799624693702,36.6969939836775,-120.799624693702
"485",485,5.22,3.8,2.36,24.51,7,5,0,0,696567,4063518,13.27792,5.052268,0.003091,NA,NA,NA,-120.799644315591,36.6970123724312,-120.799644315591
"486",486,4.5,4.93,1.7,19.75,7,7,0,0,696571,4063495,10.60476,6.467952,0.002002,NA,NA,NA,-120.799605477428,36.6968043559134,-120.799605477428
"487",487,8.01,6.4,2.24,60.13,7,5,0,0,696599.1,4063507,7.71014,6.748665,0.00402,NA,NA,NA,-120.79928805675,36.6969066420464,-120.79928805675
"488",488,2.39,2.1,0.96,2.52,7,0,0,0,696595.9,4063521,8.374058,5.572486,0.003063,NA,NA,NA,-120.799320256906,36.6970334191398,-120.799320256906
"489",489,4.9,3.67,2.16,20.34,7,5,0,0,696618.7,4063513,4.578185,4.823369,0.004012,9.693333,4,4,-120.799067261442,36.6969566365685,-120.799067261442
"490",490,4.7,4.3,1.54,16.3,7,4,0,0,696616.6,4063505,6.366624,5.256395,0.004634,NA,NA,NA,-120.799092808229,36.6968850052586,-120.799092808229
"491",491,3.6,2.65,1.51,7.54,7,2,0,0,696623.6,4063498,14.14515,4.866066,0.004664,NA,NA,NA,-120.799016301758,36.6968204994824,-120.799016301758
"492",492,2.26,2,0.97,2.3,7,2,0,0,696622.3,4063495,14.08593,3.944948,0.005257,NA,NA,NA,-120.799031614839,36.6967937437776,-120.799031614839
"493",493,2.22,2.09,2.17,5.27,7,1,0,0,696617.8,4063496,13.48542,5.390052,0.005087,NA,NA,NA,-120.799081696739,36.6968036829991,-120.799081696739
"494",494,5.06,3.95,1.74,18.21,7,6,0,0,696609.4,4063489,12.49999,5.618218,0.004595,NA,NA,NA,-120.799177460839,36.6967423632517,-120.799177460839
"495",495,4.9,3.36,1.74,15,7,4,0,0,696596.1,4063480,7.781851,5.376967,0.003683,NA,NA,NA,-120.799328551853,36.6966640406148,-120.799328551853
"496",496,4.5,3.5,1.6,13.19,7,5,0,0,696591.1,4063472,10.22621,6.533226,0.002187,NA,NA,NA,-120.799386538779,36.6965930091236,-120.799386538779
"497",497,3.5,2.64,1.24,6,7,3,0,0,696591.3,4063453,14.7696,6.540105,0.001557,NA,NA,NA,-120.799389182095,36.696421811494,-120.799389182095
"498",498,3.16,2.57,1.55,6.59,7,2,0,0,696613.9,4063467,14.75126,5.242521,0.004235,NA,NA,NA,-120.799132773955,36.6965432514017,-120.799132773955
"499",499,7.04,5.97,1.64,36.09,7,6,0,0,696613,4063476,14.78544,5.850383,0.004171,NA,NA,NA,-120.799140529563,36.6966245115963,-120.799140529563
