count,shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
327,0.003772,0.022,0.0312757,0.0151212
328,0.002204,0.0192,0.0171004,0.011953
329,0.000635,0.0188,0.0184504,0.0034563
330,0.001905,0,0.046351,0.0188655
331,0.02568,0,0.0330757,0.0036003
332,0.015156,0,0.0522011,0.0064805
333,0.008042,0.002,0.0749266,0.000144
334,0.019386,0.0012,0.0567012,0.0142571
335,0.010544,0.0012,0.0283506,0.013105
336,0.017088,0.0076,0.0310507,0.0288023
337,0.007838,0.0032,0.0544512,0.0234739
338,0.001756,0.004,0.0225005,0.0074886
339,0.003851,0.0044,0.0078752,0.012529
340,0.03878,0.0072,0.0353258,0.0555884
341,0.015366,0.0124,0.001125,0.0563085
342,0.000948,0.0128,0.002025,0.0139691
343,0.001794,0.0292,0.0195754,0.0348508
344,0.001482,0.0728,0.0258755,0.0743099
345,0.004372,0.054,0.0159753,0.186495
346,0.002009,0.0432,0.0024751,0.0799264
347,0.001233,0.0236,0.0083252,0.0698456
348,0.000661,0.016,0.0092252,0.0113769
349,0.003463,0.0008,0.0180004,0.012673
350,0.019478,0.006,0.0355508,0.0057605
351,0.011404,0.0056,0.0081002,0.000432
352,0.0082,0.0376,0.0024751,0.0074886
353,0.01043,0.0096,0.0105752,0.0263541
354,0.002867,0.016,0.0009,0.0181454
355,0.002087,0.0172,0.00225,0.0113769
356,0.000923,0.028,0.000675,0.012097
357,0.000091,0.0224,0.00225,0.012241
358,0.00116,0.0136,0.0092252,0.0517001
359,0.025068,0.0192,0.0258755,0.0420514
360,0.016797,0.0264,0.0173254,0.0593327
361,0.014283,0.0232,0.0146253,0.0190095
362,0.019264,0.0408,0.0499511,0.0048964
363,0.02367,0.076,0.0396008,0.0266421
364,0.013539,0.046,0.0495011,0.0056165
365,0.01063,0.0168,0.0546762,0.0177134
366,0.00394,0.0336,0.0166504,0.0145452
367,0.001122,0.0312,0.0236255,0.0145452
368,0.002588,0.0392,0.0063001,0.0293783
369,0.014134,0.0188,0.0299256,0.0243379
370,0.008914,0.042,0.0369008,0.0400352
371,0.033103,0.0396,0.0213755,0.0273622
372,0.03937,0.034,0.0146253,0.0190095
373,0.030956,0.0436,0.0027001,0.0106569
374,0.020756,0.0504,0.0045001,0.0339867
375,0.010578,0.0372,0.045676,0.0089287
376,0.00829,0.0692,0.0382508,0.0077766
377,0.02642,0.034,0.001125,0.0031682
378,0.02454,0.0148,0.002025,0.0218897
379,0.015264,0.0256,0.0396008,0.0028802
380,0.017284,0.004,0.0366758,0.000144
381,0.007351,0,0.0292506,0.0053284
382,0.001073,0.0004,0.0600763,0.0018721
383,0.000631,0.0012,0.0396008,0.0115209
384,0.013367,0.0048,0.0299256,0.0296664
385,0.00594,0.0024,0.0292506,0.0473798
386,0.009622,0.0104,0.0387008,0.0643731
387,0.00308,0.0052,0.0029251,0.074886
388,0.001142,0.0024,0.0306007,0.0733019
389,0.004885,0.05,0.0065251,0.0491079
390,0.007635,0.0192,0.0056251,0.0358589
391,0.002615,0.0148,0.001575,0.0187215
392,0.001526,0.0316,0.0614263,0.0141131
